Rank,StartTime,Flgs,Proto,SrcAddr,Sport,DstAddr,Dport,TotPkts,TotBytes,State,LastTime,Seq,Dur,Mean,StdDev,Sum,Min,Max,SrcPkts,DstPkts,SrcBytes,DstBytes,Rate,SrcRate,DstRate,Label,Tactic,Technique,SubTechnique
918,1637482156.077642, e        ,udp,192.168.1.103,123,103.159.118.4,123,1,90,REQ,1637482156.077642,166,0.0,0.0,0.0,0.0,0.0,0.0,1,0,90,0,0.0,0.0,0.0,0,Normal,Normal,Normal
919,1637482156.077655, e        ,udp,192.168.1.103,123,220.132.100.157,123,1,90,REQ,1637482156.077655,18,0.0,0.0,0.0,0.0,0.0,0.0,1,0,90,0,0.0,0.0,0.0,0,Normal,Normal,Normal
920,1637482156.124791, e        ,udp,192.168.1.212,60254,192.168.1.11,53,2,160,CON,1637482156.125294,726,0.000503,0.000503,0.0,0.000503,0.000503,0.000503,1,1,72,88,1988.071655,0.0,0.0,0,Normal,Normal,Normal
921,1637482156.124808, e        ,udp,192.168.1.212,60254,192.168.1.11,53,2,144,CON,1637482156.125303,727,0.000495,0.000495,0.0,0.000495,0.000495,0.000495,1,1,72,72,2020.202026,0.0,0.0,0,Normal,Normal,Normal
922,1637482156.128623, e        ,tcp,192.168.1.212,55938,192.168.1.11,80,10,1330,sSEfF,1637482156.1313288,728,0.002706,0.002706,0.0,0.002706,0.002706,0.002706,6,4,557,773,3325.942139,1847.745728,1108.647461,0,Normal,Normal,Normal
923,1637482156.132407, e        ,udp,192.168.1.212,59917,192.168.1.11,53,2,160,CON,1637482156.132758,729,0.000351,0.000351,0.0,0.000351,0.000351,0.000351,1,1,72,88,2849.00293,0.0,0.0,0,Normal,Normal,Normal
924,1637482156.1324134, e        ,udp,192.168.1.212,59917,192.168.1.11,53,2,144,CON,1637482156.132762,730,0.000349,0.000349,0.0,0.000349,0.000349,0.000349,1,1,72,72,2865.329346,0.0,0.0,0,Normal,Normal,Normal
925,1637482156.132939, e        ,tcp,192.168.1.212,55940,192.168.1.11,80,10,1330,sSEfF,1637482156.134744,731,0.001805,0.001805,0.0,0.001805,0.001805,0.001805,6,4,557,773,4986.149414,2770.083008,1662.049805,0,Normal,Normal,Normal
926,1637482156.135442, e        ,udp,192.168.1.212,36184,192.168.1.11,53,2,160,CON,1637482156.135705,732,0.000263,0.000263,0.0,0.000263,0.000263,0.000263,1,1,72,88,3802.281494,0.0,0.0,0,Normal,Normal,Normal
927,1637482156.1354446, e        ,udp,192.168.1.212,36184,192.168.1.11,53,2,144,CON,1637482156.135844,733,0.000399,0.000399,0.0,0.000399,0.000399,0.000399,1,1,72,72,2506.265625,0.0,0.0,0,Normal,Normal,Normal
928,1637482156.1360009, e        ,tcp,192.168.1.212,55942,192.168.1.11,80,10,1334,sSEfF,1637482156.137644,734,0.001643,0.001643,0.0,0.001643,0.001643,0.001643,6,4,559,775,5477.78418,3043.213623,1825.928101,0,Normal,Normal,Normal
929,1637482156.138402, e        ,udp,192.168.1.212,47818,192.168.1.11,53,2,160,CON,1637482156.138739,735,0.000337,0.000337,0.0,0.000337,0.000337,0.000337,1,1,72,88,2967.358887000001,0.0,0.0,0,Normal,Normal,Normal
930,1637482156.138405, e        ,udp,192.168.1.212,47818,192.168.1.11,53,2,144,CON,1637482156.138741,736,0.000336,0.000336,0.0,0.000336,0.000336,0.000336,1,1,72,72,2976.19043,0.0,0.0,0,Normal,Normal,Normal
931,1637482156.138896, e        ,tcp,192.168.1.212,55944,192.168.1.11,80,10,1334,sSEfF,1637482156.140362,737,0.001466,0.001466,0.0,0.001466,0.001466,0.001466,6,4,559,775,6139.154297,3410.641113,2046.384766,0,Normal,Normal,Normal
932,1637482156.141018, e        ,udp,192.168.1.212,33680,192.168.1.11,53,2,160,CON,1637482156.141275,738,0.000257,0.000257,0.0,0.000257,0.000257,0.000257,1,1,72,88,3891.050537,0.0,0.0,0,Normal,Normal,Normal
933,1637482156.141021, e        ,udp,192.168.1.212,33680,192.168.1.11,53,2,144,CON,1637482156.14139,739,0.000369,0.000369,0.0,0.000369,0.000369,0.000369,1,1,72,72,2710.0271,0.0,0.0,0,Normal,Normal,Normal
934,1637482156.141526, e        ,tcp,192.168.1.212,55946,192.168.1.11,80,10,1334,sSEfF,1637482156.143108,740,0.001582,0.001582,0.0,0.001582,0.001582,0.001582,6,4,559,775,5689.0009770000015,3160.556152,1896.33374,0,Normal,Normal,Normal
935,1637482156.143769, e        ,udp,192.168.1.212,37505,192.168.1.11,53,2,160,CON,1637482156.1440089,741,0.00024,0.00024,0.0,0.00024,0.00024,0.00024,1,1,72,88,4166.666992,0.0,0.0,0,Normal,Normal,Normal
936,1637482156.143776, e        ,udp,192.168.1.212,37505,192.168.1.11,53,2,144,CON,1637482156.144141,742,0.000365,0.000365,0.0,0.000365,0.000365,0.000365,1,1,72,72,2739.72583,0.0,0.0,0,Normal,Normal,Normal
937,1637482156.144268, e        ,tcp,192.168.1.212,55948,192.168.1.11,80,10,1328,sSEfF,1637482156.1467721,743,0.002504,0.002504,0.0,0.002504,0.002504,0.002504,6,4,556,772,3594.249268,1996.805176,1198.08313,0,Normal,Normal,Normal
938,1637482156.147432, e        ,udp,192.168.1.212,58299,192.168.1.11,53,2,160,CON,1637482156.147588,744,0.000156,0.000156,0.0,0.000156,0.000156,0.000156,1,1,72,88,6410.256836,0.0,0.0,0,Normal,Normal,Normal
939,1637482156.147434, e        ,udp,192.168.1.212,58299,192.168.1.11,53,2,144,CON,1637482156.147674,745,0.00024,0.00024,0.0,0.00024,0.00024,0.00024,1,1,72,72,4166.666992,0.0,0.0,0,Normal,Normal,Normal
940,1637482156.147878, e        ,tcp,192.168.1.212,55950,192.168.1.11,80,10,1344,sSEfF,1637482156.149134,746,0.001256,0.001256,0.0,0.001256,0.001256,0.001256,6,4,564,780,7165.60498,3980.891602,2388.534912,0,Normal,Normal,Normal
941,1637482156.149873, e        ,udp,192.168.1.212,55433,192.168.1.11,53,2,160,CON,1637482156.1500099,747,0.00013700000000000002,0.00013700000000000002,0.0,0.00013700000000000002,0.00013700000000000002,0.00013700000000000002,1,1,72,88,7299.270508,0.0,0.0,0,Normal,Normal,Normal
942,1637482156.149875, e        ,udp,192.168.1.212,55433,192.168.1.11,53,2,144,CON,1637482156.150012,748,0.00013700000000000002,0.00013700000000000002,0.0,0.00013700000000000002,0.00013700000000000002,0.00013700000000000002,1,1,72,72,7299.270508,0.0,0.0,0,Normal,Normal,Normal
943,1637482156.15022, e        ,tcp,192.168.1.212,55952,192.168.1.11,80,10,1336,sSEfF,1637482156.1522331,749,0.002013,0.002013,0.0,0.002013,0.002013,0.002013,6,4,560,776,4470.938965,2483.85498,1490.312988,0,Normal,Normal,Normal
944,1637482156.152983, e        ,udp,192.168.1.212,36444,192.168.1.11,53,2,160,CON,1637482156.153121,750,0.000138,0.000138,0.0,0.000138,0.000138,0.000138,1,1,72,88,7246.376465,0.0,0.0,0,Normal,Normal,Normal
945,1637482156.1529849, e        ,udp,192.168.1.212,36444,192.168.1.11,53,2,144,CON,1637482156.1531599,751,0.000175,0.000175,0.0,0.000175,0.000175,0.000175,1,1,72,72,5714.286133,0.0,0.0,0,Normal,Normal,Normal
