Rank,StartTime,Flgs,Proto,SrcAddr,Sport,DstAddr,Dport,TotPkts,TotBytes,State,LastTime,Seq,Dur,Mean,StdDev,Sum,Min,Max,SrcPkts,DstPkts,SrcBytes,DstBytes,Rate,SrcRate,DstRate,Label,Tactic,Technique,SubTechnique
1246,1637318904.655205, e        ,tcp,192.168.1.11,20,192.168.1.111,51743,6,422,sSEfF,1637318904.657015,1085,0.00181,0.00181,0.0,0.00181,0.00181,0.00181,4,2,282,140,2762.430908,1657.4584960000002,552.486145,0,Normal,Normal,Normal
1247,1637318904.660716, e        ,tcp,192.168.1.11,20,192.168.1.111,50583,8,561,sSEfF,1637318904.662603,1086,0.001887,0.001887,0.0,0.001887,0.001887,0.001887,4,4,272,289,3709.591797,1589.825073,1589.825073,0,Normal,Normal,Normal
1251,1637318905.043389, e        ,udp,192.168.1.111,47416,192.168.1.11,53,2,160,CON,1637318905.043872,1089,0.000483,0.000483,0.0,0.000483,0.000483,0.000483,1,1,72,88,2070.393311,0.0,0.0,0,Normal,Normal,Normal
1252,1637318905.0434039, e        ,udp,192.168.1.111,47416,192.168.1.11,53,2,144,CON,1637318905.04388,1090,0.000476,0.000476,0.0,0.000476,0.000476,0.000476,1,1,72,72,2100.840332,0.0,0.0,0,Normal,Normal,Normal
1253,1637318905.04529, e        ,tcp,192.168.1.111,41056,192.168.1.11,80,10,1330,sSEfF,1637318905.0477679,1091,0.002478,0.002478,0.0,0.002478,0.002478,0.002478,6,4,557,773,3631.961182,2017.756226,1210.653809,0,Normal,Normal,Normal
1254,1637318905.04862, e        ,udp,192.168.1.111,59471,192.168.1.11,53,2,160,CON,1637318905.049036,1092,0.000416,0.000416,0.0,0.000416,0.000416,0.000416,1,1,72,88,2403.846191,0.0,0.0,0,Normal,Normal,Normal
1255,1637318905.048624, e        ,udp,192.168.1.111,59471,192.168.1.11,53,2,144,CON,1637318905.049099,1093,0.000475,0.000475,0.0,0.000475,0.000475,0.000475,1,1,72,72,2105.263184,0.0,0.0,0,Normal,Normal,Normal
1256,1637318905.0497699, e        ,tcp,192.168.1.111,41058,192.168.1.11,80,10,1330,sSEfF,1637318905.051773,1094,0.002003,0.002003,0.0,0.002003,0.002003,0.002003,6,4,557,773,4493.260254,2496.255859,1497.753418,0,Normal,Normal,Normal
1257,1637318905.052651, e        ,udp,192.168.1.111,34780,192.168.1.11,53,2,160,CON,1637318905.0529618,1095,0.000311,0.000311,0.0,0.000311,0.000311,0.000311,1,1,72,88,3215.434082,0.0,0.0,0,Normal,Normal,Normal
1258,1637318905.0526538, e        ,udp,192.168.1.111,34780,192.168.1.11,53,2,144,CON,1637318905.053033,1096,0.000379,0.000379,0.0,0.000379,0.000379,0.000379,1,1,72,72,2638.522461,0.0,0.0,0,Normal,Normal,Normal
