Rank,StartTime,Flgs,Proto,SrcAddr,Sport,DstAddr,Dport,TotPkts,TotBytes,State,LastTime,Seq,Dur,Mean,StdDev,Sum,Min,Max,SrcPkts,DstPkts,SrcBytes,DstBytes,Rate,SrcRate,DstRate,Label,Tactic,Technique,SubTechnique
1106,1637351173.498434, e        ,tcp,192.168.1.11,20,192.168.1.111,40839,6,422,sSEfF,1637351173.500667,945,0.002233,0.002233,0.0,0.002233,0.002233,0.002233,4,2,282,140,2239.140137000001,1343.4841310000004,447.828033,0,Normal,Normal,Normal
1107,1637351173.504634, e        ,tcp,192.168.1.11,20,192.168.1.111,55501,8,561,sSEfF,1637351173.5064561,946,0.001822,0.001822,0.0,0.001822,0.001822,0.001822,4,4,272,289,3841.931885,1646.542236,1646.542236,0,Normal,Normal,Normal
1110,1637351173.561154, e        ,udp,192.168.1.212,123,122.117.24.100,123,1,90,INT,1637351173.561154,949,0.0,0.0,0.0,0.0,0.0,0.0,1,0,90,0,0.0,0.0,0.0,0,Normal,Normal,Normal
1111,1637351173.909927, e        ,udp,192.168.1.103,123,51.255.197.148,123,1,90,REQ,1637351173.909927,175,0.0,0.0,0.0,0.0,0.0,0.0,1,0,90,0,0.0,0.0,0.0,0,Normal,Normal,Normal
1113,1637351173.995599, e        ,udp,192.168.1.211,48158,192.168.1.21,53,2,160,CON,1637351173.99606,950,0.000461,0.000461,0.0,0.000461,0.000461,0.000461,1,1,72,88,2169.19751,0.0,0.0,0,Normal,Normal,Normal
1114,1637351173.995616, e        ,udp,192.168.1.211,48158,192.168.1.21,53,2,144,CON,1637351173.996205,951,0.000589,0.000589,0.0,0.000589,0.000589,0.000589,1,1,72,72,1697.792847,0.0,0.0,0,Normal,Normal,Normal
1115,1637351173.996409, e        ,tcp,192.168.1.211,53784,192.168.1.21,21,37,3119,sSEfF,1637351174.036273,952,0.039864,0.039864,0.0,0.039864,0.039864,0.039864,18,19,1363,1756,903.070435,426.449921,451.535217,0,Normal,Normal,Normal
1117,1637351174.001433, e        ,udp,192.168.1.21,48281,8.8.8.8,53,1,86,INT,1637351174.001433,954,0.0,0.0,0.0,0.0,0.0,0.0,1,0,86,0,0.0,0.0,0.0,0,Normal,Normal,Normal
1120,1637351174.029686, e        ,tcp,192.168.1.21,20,192.168.1.211,53961,6,422,sSEfF,1637351174.031214,955,0.0015279999999999998,0.0015279999999999998,0.0,0.0015279999999999998,0.0015279999999999998,0.0015279999999999998,4,2,282,140,3272.251221,1963.35083,654.450256,0,Normal,Normal,Normal
1121,1637351174.033396, e        ,tcp,192.168.1.21,20,192.168.1.211,46431,8,561,sSEfF,1637351174.034901,956,0.001505,0.001505,0.0,0.001505,0.001505,0.001505,5,3,355,206,4651.162598,2657.807129,1328.903564,0,Normal,Normal,Normal
1122,1637351174.03866, e        ,udp,192.168.1.211,57291,192.168.1.21,53,2,160,CON,1637351174.038875,957,0.000215,0.000215,0.0,0.000215,0.000215,0.000215,1,1,72,88,4651.163086,0.0,0.0,0,Normal,Normal,Normal
1123,1637351174.038664, e        ,udp,192.168.1.211,57291,192.168.1.21,53,2,144,CON,1637351174.038879,958,0.000215,0.000215,0.0,0.000215,0.000215,0.000215,1,1,72,72,4651.163086,0.0,0.0,0,Normal,Normal,Normal
1124,1637351174.03912, e        ,tcp,192.168.1.211,53786,192.168.1.21,21,39,3281,sSEfF,1637351174.281891,959,0.242771,0.242771,0.0,0.242771,0.242771,0.242771,19,20,1441,1840,156.526108,74.14394399999998,78.263054,0,Normal,Normal,Normal
1126,1637351174.122421, e        ,udp,192.168.1.200,43518,192.168.1.21,53,2,168,CON,1637351174.12286,960,0.000439,0.000439,0.0,0.000439,0.000439,0.000439,1,1,76,92,2277.904297,0.0,0.0,0,Normal,Normal,Normal
1128,1637351174.12315, e        ,udp,192.168.1.200,43518,192.168.1.21,53,2,152,CON,1637351174.123353,961,0.000203,0.000203,0.0,0.000203,0.000203,0.000203,1,1,76,76,4926.1083979999985,0.0,0.0,0,Normal,Normal,Normal
1129,1637351174.168656, e        ,udp,192.168.1.211,45301,192.168.1.21,53,2,160,CON,1637351174.1690214,962,0.000365,0.000365,0.0,0.000365,0.000365,0.000365,1,1,72,88,2739.72583,0.0,0.0,0,Normal,Normal,Normal
1130,1637351174.168678, e        ,udp,192.168.1.211,45301,192.168.1.21,53,2,144,CON,1637351174.1690302,963,0.000352,0.000352,0.0,0.000352,0.000352,0.000352,1,1,72,72,2840.90918,0.0,0.0,0,Normal,Normal,Normal
1131,1637351174.169354, e        ,tcp,192.168.1.211,44982,192.168.1.21,80,10,1330,sSEfF,1637351174.172551,964,0.003197,0.003197,0.0,0.003197,0.003197,0.003197,6,4,557,773,2815.139404,1563.966309,938.379761,0,Normal,Normal,Normal
1132,1637351174.17318, e        ,udp,192.168.1.211,60144,192.168.1.21,53,2,160,CON,1637351174.173462,965,0.000282,0.000282,0.0,0.000282,0.000282,0.000282,1,1,72,88,3546.099365,0.0,0.0,0,Normal,Normal,Normal
1133,1637351174.173184, e        ,udp,192.168.1.211,60144,192.168.1.21,53,2,144,CON,1637351174.173467,966,0.000283,0.000283,0.0,0.000283,0.000283,0.000283,1,1,72,72,3533.568848,0.0,0.0,0,Normal,Normal,Normal
1134,1637351174.176394, e        ,tcp,192.168.1.211,44984,192.168.1.21,80,10,1330,sSEfF,1637351174.178148,967,0.001754,0.001754,0.0,0.001754,0.001754,0.001754,6,4,557,773,5131.128906,2850.627197,1710.376343,0,Normal,Normal,Normal
1135,1637351174.1789892, e        ,udp,192.168.1.211,45166,192.168.1.21,53,2,160,CON,1637351174.179324,968,0.000335,0.000335,0.0,0.000335,0.000335,0.000335,1,1,72,88,2985.074707,0.0,0.0,0,Normal,Normal,Normal
1136,1637351174.178992, e        ,udp,192.168.1.211,45166,192.168.1.21,53,2,144,CON,1637351174.179328,969,0.000336,0.000336,0.0,0.000336,0.000336,0.000336,1,1,72,72,2976.19043,0.0,0.0,0,Normal,Normal,Normal
1137,1637351174.1795099, e        ,tcp,192.168.1.211,44986,192.168.1.21,80,10,1334,sSEfF,1637351174.181437,970,0.001927,0.001927,0.0,0.001927,0.001927,0.001927,6,4,559,775,4670.472168,2594.706787,1556.8240970000004,0,Normal,Normal,Normal
1138,1637351174.182347, e        ,udp,192.168.1.211,45759,192.168.1.21,53,2,160,CON,1637351174.182577,971,0.00023,0.00023,0.0,0.00023,0.00023,0.00023,1,1,72,88,4347.826172,0.0,0.0,0,Normal,Normal,Normal
1139,1637351174.182353, e        ,udp,192.168.1.211,45759,192.168.1.21,53,2,144,CON,1637351174.182644,972,0.000291,0.000291,0.0,0.000291,0.000291,0.000291,1,1,72,72,3436.426025,0.0,0.0,0,Normal,Normal,Normal
1140,1637351174.18278, e        ,tcp,192.168.1.211,44988,192.168.1.21,80,10,1334,sSEfF,1637351174.1843839,973,0.001604,0.001604,0.0,0.001604,0.001604,0.001604,6,4,559,775,5610.972656,3117.207031,1870.324219,0,Normal,Normal,Normal
1141,1637351174.185282, e        ,udp,192.168.1.211,35412,192.168.1.21,53,2,160,CON,1637351174.185528,974,0.000246,0.000246,0.0,0.000246,0.000246,0.000246,1,1,72,88,4065.040527,0.0,0.0,0,Normal,Normal,Normal
1142,1637351174.1852882, e        ,udp,192.168.1.211,35412,192.168.1.21,53,2,144,CON,1637351174.185536,975,0.000248,0.000248,0.0,0.000248,0.000248,0.000248,1,1,72,72,4032.258057,0.0,0.0,0,Normal,Normal,Normal
1143,1637351174.1857948, e        ,tcp,192.168.1.211,44990,192.168.1.21,80,10,1334,sSEfF,1637351174.187334,976,0.001539,0.001539,0.0,0.001539,0.001539,0.001539,6,4,559,775,5847.953125,3248.863037,1949.317749,0,Normal,Normal,Normal
1144,1637351174.18815, e        ,udp,192.168.1.211,48102,192.168.1.21,53,2,160,CON,1637351174.188411,977,0.000261,0.000261,0.0,0.000261,0.000261,0.000261,1,1,72,88,3831.41748,0.0,0.0,0,Normal,Normal,Normal
1145,1637351174.1881552, e        ,udp,192.168.1.211,48102,192.168.1.21,53,2,144,CON,1637351174.1884189,978,0.000264,0.000264,0.0,0.000264,0.000264,0.000264,1,1,72,72,3787.878662,0.0,0.0,0,Normal,Normal,Normal
1146,1637351174.188585, e        ,tcp,192.168.1.211,44992,192.168.1.21,80,10,1328,sSEfF,1637351174.190099,979,0.0015140000000000002,0.0015140000000000002,0.0,0.0015140000000000002,0.0015140000000000002,0.0015140000000000002,6,4,556,772,5944.517578,3302.51001,1981.505981,0,Normal,Normal,Normal
1147,1637351174.190947, e        ,udp,192.168.1.211,48852,192.168.1.21,53,2,160,CON,1637351174.191128,980,0.000181,0.000181,0.0,0.000181,0.000181,0.000181,1,1,72,88,5524.861816,0.0,0.0,0,Normal,Normal,Normal
1148,1637351174.19095, e        ,udp,192.168.1.211,48852,192.168.1.21,53,2,144,CON,1637351174.191133,981,0.000183,0.000183,0.0,0.000183,0.000183,0.000183,1,1,72,72,5464.480957,0.0,0.0,0,Normal,Normal,Normal
1149,1637351174.1929061, e        ,tcp,192.168.1.211,44994,192.168.1.21,80,10,1344,sSEfF,1637351174.194691,982,0.001785,0.001785,0.0,0.001785,0.001785,0.001785,6,4,564,780,5042.01709,2801.120605,1680.672241,0,Normal,Normal,Normal
1150,1637351174.195522, e        ,udp,192.168.1.211,43882,192.168.1.21,53,2,160,CON,1637351174.195738,983,0.000216,0.000216,0.0,0.000216,0.000216,0.000216,1,1,72,88,4629.629395,0.0,0.0,0,Normal,Normal,Normal
1151,1637351174.195524, e        ,udp,192.168.1.211,43882,192.168.1.21,53,2,144,CON,1637351174.195741,984,0.000217,0.000217,0.0,0.000217,0.000217,0.000217,1,1,72,72,4608.294922,0.0,0.0,0,Normal,Normal,Normal
1152,1637351174.196682, e        ,tcp,192.168.1.211,44996,192.168.1.21,80,10,1336,sSEfF,1637351174.198935,985,0.002253,0.002253,0.0,0.002253,0.002253,0.002253,6,4,560,776,3994.673828,2219.263184,1331.557983,0,Normal,Normal,Normal
1153,1637351174.1998, e        ,udp,192.168.1.211,55525,192.168.1.21,53,2,160,CON,1637351174.200046,986,0.000246,0.000246,0.0,0.000246,0.000246,0.000246,1,1,72,88,4065.040527,0.0,0.0,0,Normal,Normal,Normal
1154,1637351174.199805, e        ,udp,192.168.1.211,55525,192.168.1.21,53,2,144,CON,1637351174.20013,987,0.000325,0.000325,0.0,0.000325,0.000325,0.000325,1,1,72,72,3076.923096,0.0,0.0,0,Normal,Normal,Normal
1155,1637351174.2002769, e        ,tcp,192.168.1.211,44998,192.168.1.21,80,10,1334,sSEfF,1637351174.201633,988,0.001356,0.001356,0.0,0.001356,0.001356,0.001356,6,4,559,775,6637.168457,3687.315674,2212.389404,0,Normal,Normal,Normal
1157,1637351174.241643, e        ,udp,192.168.1.21,8853,8.8.8.8,53,1,86,INT,1637351174.241643,990,0.0,0.0,0.0,0.0,0.0,0.0,1,0,86,0,0.0,0.0,0.0,0,Normal,Normal,Normal
1159,1637351174.27296, e        ,tcp,192.168.1.21,20,192.168.1.211,52999,6,422,sSEfF,1637351174.274808,991,0.001848,0.001848,0.0,0.001848,0.001848,0.001848,4,2,282,140,2705.627686,1623.376587,541.125549,0,Normal,Normal,Normal
1160,1637351174.278544, e        ,tcp,192.168.1.21,20,192.168.1.211,39945,8,561,sSEfF,1637351174.280736,992,0.0021920000000000004,0.0021920000000000004,0.0,0.0021920000000000004,0.0021920000000000004,0.0021920000000000004,4,4,272,289,3193.430664,1368.613159,1368.613159,0,Normal,Normal,Normal
1161,1637351174.367235, e        ,udp,192.168.1.212,56196,192.168.1.11,53,2,160,CON,1637351174.3675814,993,0.000346,0.000346,0.0,0.000346,0.000346,0.000346,1,1,72,88,2890.173584,0.0,0.0,0,Normal,Normal,Normal
1162,1637351174.367262, e        ,udp,192.168.1.212,56196,192.168.1.11,53,2,144,CON,1637351174.367588,994,0.000326,0.000326,0.0,0.000326,0.000326,0.000326,1,1,72,72,3067.4846190000007,0.0,0.0,0,Normal,Normal,Normal
1163,1637351174.36795, e        ,tcp,192.168.1.212,42448,192.168.1.11,21,37,3119,sSEfF,1637351174.41251,995,0.04456,0.04456,0.0,0.04456,0.04456,0.04456,18,19,1363,1756,807.899475,381.508087,403.949738,0,Normal,Normal,Normal
1166,1637351174.404941, e        ,tcp,192.168.1.11,20,192.168.1.212,49943,6,422,sSEfF,1637351174.406724,998,0.001783,0.001783,0.0,0.001783,0.001783,0.001783,4,2,282,140,2804.262451,1682.557495,560.852539,0,Normal,Normal,Normal
1167,1637351174.409309, e        ,tcp,192.168.1.11,20,192.168.1.212,50929,8,561,sSEfF,1637351174.411243,999,0.001934,0.001934,0.0,0.001934,0.001934,0.001934,5,3,355,206,3619.441406,2068.252197,1034.126099,0,Normal,Normal,Normal
1168,1637351174.414571, e        ,udp,192.168.1.212,56972,192.168.1.11,53,2,160,CON,1637351174.414917,1000,0.000346,0.000346,0.0,0.000346,0.000346,0.000346,1,1,72,88,2890.173584,0.0,0.0,0,Normal,Normal,Normal
1169,1637351174.414578, e        ,udp,192.168.1.212,56972,192.168.1.11,53,2,144,CON,1637351174.415042,1001,0.000464,0.000464,0.0,0.000464,0.000464,0.000464,1,1,72,72,2155.172363,0.0,0.0,0,Normal,Normal,Normal
1170,1637351174.41523, e        ,tcp,192.168.1.212,42450,192.168.1.11,21,39,3285,sSEfF,1637351174.65305,1002,0.23782,0.23782,0.0,0.23782,0.23782,0.23782,19,20,1445,1840,159.78471399999995,75.687492,79.89235699999998,0,Normal,Normal,Normal
1173,1637351174.644803, e        ,tcp,192.168.1.11,20,192.168.1.212,49769,6,422,sSEfF,1637351174.6466188,1005,0.001816,0.001816,0.0,0.001816,0.001816,0.001816,4,2,282,140,2753.303955,1651.982422,550.660828,0,Normal,Normal,Normal
1174,1637351174.650261, e        ,tcp,192.168.1.11,20,192.168.1.212,36023,8,561,sSEfF,1637351174.651818,1006,0.001557,0.001557,0.0,0.001557,0.001557,0.001557,4,4,272,289,4495.825195,1926.782349,1926.782349,0,Normal,Normal,Normal
1175,1637351174.897506, e        ,udp,192.168.1.212,34808,192.168.1.11,53,2,160,CON,1637351174.898006,1007,0.0005,0.0005,0.0,0.0005,0.0005,0.0005,1,1,72,88,1999.999878,0.0,0.0,0,Normal,Normal,Normal
1176,1637351174.897529, e        ,udp,192.168.1.212,34808,192.168.1.11,53,2,144,CON,1637351174.898012,1008,0.000483,0.000483,0.0,0.000483,0.000483,0.000483,1,1,72,72,2070.393311,0.0,0.0,0,Normal,Normal,Normal
1177,1637351174.898416, e        ,tcp,192.168.1.212,52470,192.168.1.11,80,10,1330,sSEfF,1637351174.901398,1009,0.002982,0.002982,0.0,0.002982,0.002982,0.002982,6,4,557,773,3018.108643,1676.727051,1006.036255,0,Normal,Normal,Normal
1178,1637351174.90168, e        ,udp,192.168.1.212,55639,192.168.1.11,53,2,160,CON,1637351174.902009,1010,0.00032900000000000003,0.00032900000000000003,0.0,0.00032900000000000003,0.00032900000000000003,0.00032900000000000003,1,1,72,88,3039.513672,0.0,0.0,0,Normal,Normal,Normal
1179,1637351174.901686, e        ,udp,192.168.1.212,55639,192.168.1.11,53,2,144,CON,1637351174.902134,1011,0.0004480000000000001,0.0004480000000000001,0.0,0.0004480000000000001,0.0004480000000000001,0.0004480000000000001,1,1,72,72,2232.142822,0.0,0.0,0,Normal,Normal,Normal
1180,1637351174.902302, e        ,tcp,192.168.1.212,52472,192.168.1.11,80,10,1330,sSEfF,1637351174.904142,1012,0.00184,0.00184,0.0,0.00184,0.00184,0.00184,6,4,557,773,4891.304199,2717.391357,1630.434692,0,Normal,Normal,Normal
1181,1637351174.904792, e        ,udp,192.168.1.212,34676,192.168.1.11,53,2,160,CON,1637351174.9050686,1013,0.000277,0.000277,0.0,0.000277,0.000277,0.000277,1,1,72,88,3610.108154,0.0,0.0,0,Normal,Normal,Normal
1182,1637351174.904797, e        ,udp,192.168.1.212,34676,192.168.1.11,53,2,144,CON,1637351174.905217,1014,0.00042,0.00042,0.0,0.00042,0.00042,0.00042,1,1,72,72,2380.952393,0.0,0.0,0,Normal,Normal,Normal
1183,1637351174.9053528, e        ,tcp,192.168.1.212,52474,192.168.1.11,80,10,1334,sSEfF,1637351174.906874,1015,0.001521,0.001521,0.0,0.001521,0.001521,0.001521,6,4,559,775,5917.159668,3287.310791,1972.386475,0,Normal,Normal,Normal
1184,1637351174.907742, e        ,udp,192.168.1.212,48507,192.168.1.11,53,2,160,CON,1637351174.9080029,1016,0.000261,0.000261,0.0,0.000261,0.000261,0.000261,1,1,72,88,3831.41748,0.0,0.0,0,Normal,Normal,Normal
1185,1637351174.907749, e        ,udp,192.168.1.212,48507,192.168.1.11,53,2,144,CON,1637351174.908106,1017,0.000357,0.000357,0.0,0.000357,0.000357,0.000357,1,1,72,72,2801.120361,0.0,0.0,0,Normal,Normal,Normal
1186,1637351174.908248, e        ,tcp,192.168.1.212,52476,192.168.1.11,80,10,1334,sSEfF,1637351174.909641,1018,0.001393,0.001393,0.0,0.001393,0.001393,0.001393,6,4,559,775,6460.8759770000015,3589.375488,2153.6252440000007,0,Normal,Normal,Normal
1187,1637351174.910375, e        ,udp,192.168.1.212,44871,192.168.1.11,53,2,160,CON,1637351174.910661,1019,0.000286,0.000286,0.0,0.000286,0.000286,0.000286,1,1,72,88,3496.503662,0.0,0.0,0,Normal,Normal,Normal
1188,1637351174.910381, e        ,udp,192.168.1.212,44871,192.168.1.11,53,2,144,CON,1637351174.9108028,1020,0.000422,0.000422,0.0,0.000422,0.000422,0.000422,1,1,72,72,2369.668213,0.0,0.0,0,Normal,Normal,Normal
1189,1637351174.912368, e        ,tcp,192.168.1.212,52478,192.168.1.11,80,10,1334,sSEfF,1637351174.913734,1021,0.001366,0.001366,0.0,0.001366,0.001366,0.001366,6,4,559,775,6588.57959,3660.322021,2196.193115,0,Normal,Normal,Normal
1190,1637351174.9144619, e        ,udp,192.168.1.212,58794,192.168.1.11,53,2,160,CON,1637351174.914684,1022,0.00022200000000000006,0.00022200000000000006,0.0,0.00022200000000000006,0.00022200000000000006,0.00022200000000000006,1,1,72,88,4504.504395,0.0,0.0,0,Normal,Normal,Normal
1191,1637351174.914465, e        ,udp,192.168.1.212,58794,192.168.1.11,53,2,144,CON,1637351174.914763,1023,0.000298,0.000298,0.0,0.000298,0.000298,0.000298,1,1,72,72,3355.70459,0.0,0.0,0,Normal,Normal,Normal
1192,1637351174.914915, e        ,tcp,192.168.1.212,52480,192.168.1.11,80,10,1328,sSEfF,1637351174.9168189,1024,0.001904,0.001904,0.0,0.001904,0.001904,0.001904,6,4,556,772,4726.8911130000015,2626.050537,1575.630249,0,Normal,Normal,Normal
1193,1637351174.917551, e        ,udp,192.168.1.212,40674,192.168.1.11,53,2,160,CON,1637351174.917689,1025,0.000138,0.000138,0.0,0.000138,0.000138,0.000138,1,1,72,88,7246.376465,0.0,0.0,0,Normal,Normal,Normal
1194,1637351174.917556, e        ,udp,192.168.1.212,40674,192.168.1.11,53,2,144,CON,1637351174.917756,1026,0.0002,0.0002,0.0,0.0002,0.0002,0.0002,1,1,72,72,5000.0,0.0,0.0,0,Normal,Normal,Normal
1195,1637351174.9178731, e        ,tcp,192.168.1.212,52482,192.168.1.11,80,10,1344,sSEfF,1637351174.919147,1027,0.001274,0.001274,0.0,0.001274,0.001274,0.001274,6,4,564,780,7064.36377,3924.646729,2354.788086,0,Normal,Normal,Normal
