Rank,StartTime,Flgs,Proto,SrcAddr,Sport,DstAddr,Dport,TotPkts,TotBytes,State,LastTime,Seq,Dur,Mean,StdDev,Sum,Min,Max,SrcPkts,DstPkts,SrcBytes,DstBytes,Rate,SrcRate,DstRate,Label,Tactic,Technique,SubTechnique
1416,1637346522.169655, e        ,udp,192.168.1.111,57911,192.168.1.11,53,2,160,CON,1637346522.170171,1244,0.000516,0.000516,0.0,0.000516,0.000516,0.000516,1,1,72,88,1937.984619,0.0,0.0,0,Normal,Normal,Normal
1417,1637346522.1696699, e        ,udp,192.168.1.111,57911,192.168.1.11,53,2,144,CON,1637346522.170315,1245,0.0006450000000000001,0.0006450000000000001,0.0,0.0006450000000000001,0.0006450000000000001,0.0006450000000000001,1,1,72,72,1550.387573,0.0,0.0,0,Normal,Normal,Normal
1418,1637346522.170542, e        ,tcp,192.168.1.111,43238,192.168.1.11,80,10,1330,sSEfF,1637346522.17324,1246,0.002698,0.002698,0.0,0.002698,0.002698,0.002698,6,4,557,773,3335.804199,1853.224609,1111.934692,0,Normal,Normal,Normal
1419,1637346522.174275, e        ,udp,192.168.1.111,35977,192.168.1.11,53,2,160,CON,1637346522.174549,1247,0.00027400000000000005,0.00027400000000000005,0.0,0.00027400000000000005,0.00027400000000000005,0.00027400000000000005,1,1,72,88,3649.635254,0.0,0.0,0,Normal,Normal,Normal
1420,1637346522.1742814, e        ,udp,192.168.1.111,35977,192.168.1.11,53,2,144,CON,1637346522.17468,1248,0.000399,0.000399,0.0,0.000399,0.000399,0.000399,1,1,72,72,2506.265625,0.0,0.0,0,Normal,Normal,Normal
1421,1637346522.1748538, e        ,tcp,192.168.1.111,43240,192.168.1.11,80,10,1330,sSEfF,1637346522.176543,1249,0.001689,0.001689,0.0,0.001689,0.001689,0.001689,6,4,557,773,5328.59668,2960.331543,1776.198853,0,Normal,Normal,Normal
1422,1637346522.177314, e        ,udp,192.168.1.111,33942,192.168.1.11,53,2,160,CON,1637346522.1775491,1250,0.000235,0.000235,0.0,0.000235,0.000235,0.000235,1,1,72,88,4255.319336,0.0,0.0,0,Normal,Normal,Normal
1423,1637346522.1773212, e        ,udp,192.168.1.111,33942,192.168.1.11,53,2,144,CON,1637346522.177681,1251,0.00036,0.00036,0.0,0.00036,0.00036,0.00036,1,1,72,72,2777.777832,0.0,0.0,0,Normal,Normal,Normal
1424,1637346522.177889, e        ,tcp,192.168.1.111,43242,192.168.1.11,80,10,1334,sSEfF,1637346522.179849,1252,0.00196,0.00196,0.0,0.00196,0.00196,0.00196,6,4,559,775,4591.836914,2551.020264,1530.612183,0,Normal,Normal,Normal
1425,1637346522.1813526, e        ,udp,192.168.1.111,38063,192.168.1.11,53,2,160,CON,1637346522.181727,1253,0.000374,0.000374,0.0,0.000374,0.000374,0.000374,1,1,72,88,2673.796875,0.0,0.0,0,Normal,Normal,Normal
1426,1637346522.181359, e        ,udp,192.168.1.111,38063,192.168.1.11,53,2,144,CON,1637346522.181735,1254,0.000376,0.000376,0.0,0.000376,0.000376,0.000376,1,1,72,72,2659.574463,0.0,0.0,0,Normal,Normal,Normal
1427,1637346522.183943, e        ,tcp,192.168.1.111,43244,192.168.1.11,80,10,1334,sSEfF,1637346522.185649,1255,0.0017059999999999998,0.0017059999999999998,0.0,0.0017059999999999998,0.0017059999999999998,0.0017059999999999998,6,4,559,775,5275.498535,2930.83252,1758.499512,0,Normal,Normal,Normal
1428,1637346522.186699, e        ,udp,192.168.1.111,47592,192.168.1.11,53,2,160,CON,1637346522.186896,1256,0.000197,0.000197,0.0,0.000197,0.000197,0.000197,1,1,72,88,5076.14209,0.0,0.0,0,Normal,Normal,Normal
1429,1637346522.186705, e        ,udp,192.168.1.111,47592,192.168.1.11,53,2,144,CON,1637346522.1869938,1257,0.00028900000000000003,0.00028900000000000003,0.0,0.00028900000000000003,0.00028900000000000003,0.00028900000000000003,1,1,72,72,3460.207764,0.0,0.0,0,Normal,Normal,Normal
