Rank,StartTime,Flgs,Proto,SrcAddr,Sport,DstAddr,Dport,TotPkts,TotBytes,State,LastTime,Seq,Dur,Mean,StdDev,Sum,Min,Max,SrcPkts,DstPkts,SrcBytes,DstBytes,Rate,SrcRate,DstRate,Label,Tactic,Technique,SubTechnique
1983,1646801192.34529, e        ,udp,192.168.1.21,57763,8.8.8.8,53,1,86,INT,1646801192.34529,1766,0.0,0.0,0.0,0.0,0.0,0.0,1,0,86,0,0.0,0.0,0.0,0,Normal,Normal,Normal
1984,1646801192.374227, e        ,tcp,192.168.1.21,20,192.168.1.211,35507,6,422,sSEfF,1646801192.3760061,1767,0.001779,0.001779,0.0,0.001779,0.001779,0.001779,4,2,282,140,2810.567627,1686.340576,562.113525,0,Normal,Normal,Normal
1985,1646801192.379775, e        ,tcp,192.168.1.21,20,192.168.1.211,39539,8,561,sSEfF,1646801192.381532,1768,0.001757,0.001757,0.0,0.001757,0.001757,0.001757,4,4,272,289,3984.063721,1707.4559329999993,1707.4559329999993,0,Normal,Normal,Normal
1987,1646801192.3954391, e s      ,tcp,192.168.1.21,43393,192.168.1.164,514,64,9260,E,1646801193.042293,15,0.646854,0.646854,0.0,0.646854,0.646854,0.646854,32,32,6956,2304,97.39447,47.924263,47.924263,0,Normal,Normal,Normal
1991,1646801192.703066, e        ,udp,192.168.1.212,57197,192.168.1.21,53,2,160,CON,1646801192.7036462,1769,0.00058,0.00058,0.0,0.00058,0.00058,0.00058,1,1,72,88,1724.137939,0.0,0.0,0,Normal,Normal,Normal
1992,1646801192.703082, e        ,udp,192.168.1.212,57197,192.168.1.21,53,2,144,CON,1646801192.7036538,1770,0.000572,0.000572,0.0,0.000572,0.000572,0.000572,1,1,72,72,1748.2518309999996,0.0,0.0,0,Normal,Normal,Normal
1993,1646801192.704187, e        ,tcp,192.168.1.212,44856,192.168.1.21,80,10,1330,sSEfF,1646801192.706467,1771,0.00228,0.00228,0.0,0.00228,0.00228,0.00228,6,4,557,773,3947.368652,2192.982666,1315.789551,0,Normal,Normal,Normal
1994,1646801192.706992, e        ,udp,192.168.1.212,43532,192.168.1.21,53,2,160,CON,1646801192.707375,1772,0.000383,0.000383,0.0,0.000383,0.000383,0.000383,1,1,72,88,2610.966064,0.0,0.0,0,Normal,Normal,Normal
1995,1646801192.706998, e        ,udp,192.168.1.212,43532,192.168.1.21,53,2,144,CON,1646801192.70738,1773,0.000382,0.000382,0.0,0.000382,0.000382,0.000382,1,1,72,72,2617.801025,0.0,0.0,0,Normal,Normal,Normal
1996,1646801192.707798, e        ,tcp,192.168.1.212,44858,192.168.1.21,80,10,1330,sSEfF,1646801192.7098892,1774,0.002091,0.002091,0.0,0.002091,0.002091,0.002091,6,4,557,773,4304.160645,2391.200195,1434.720215,0,Normal,Normal,Normal
1997,1646801192.710549, e        ,udp,192.168.1.212,44666,192.168.1.21,53,2,160,CON,1646801192.710903,1775,0.000354,0.000354,0.0,0.000354,0.000354,0.000354,1,1,72,88,2824.858887000001,0.0,0.0,0,Normal,Normal,Normal
1998,1646801192.710555, e        ,udp,192.168.1.212,44666,192.168.1.21,53,2,144,CON,1646801192.710909,1776,0.000354,0.000354,0.0,0.000354,0.000354,0.000354,1,1,72,72,2824.858887000001,0.0,0.0,0,Normal,Normal,Normal
1999,1646801192.711294, e        ,tcp,192.168.1.212,44860,192.168.1.21,80,10,1334,sSEfF,1646801192.712789,1777,0.001495,0.001495,0.0,0.001495,0.001495,0.001495,6,4,559,775,6020.066895,3344.481689,2006.688965,0,Normal,Normal,Normal
2000,1646801192.713483, e        ,udp,192.168.1.212,33265,192.168.1.21,53,2,160,CON,1646801192.713872,1778,0.000389,0.000389,0.0,0.000389,0.000389,0.000389,1,1,72,88,2570.694092,0.0,0.0,0,Normal,Normal,Normal
2001,1646801192.713488, e        ,udp,192.168.1.212,33265,192.168.1.21,53,2,144,CON,1646801192.713877,1779,0.000389,0.000389,0.0,0.000389,0.000389,0.000389,1,1,72,72,2570.694092,0.0,0.0,0,Normal,Normal,Normal
2002,1646801192.71409, e        ,tcp,192.168.1.212,44862,192.168.1.21,80,10,1334,sSEfF,1646801192.715378,1780,0.001288,0.001288,0.0,0.001288,0.001288,0.001288,6,4,559,775,6987.577637,3881.987549,2329.192383,0,Normal,Normal,Normal
2003,1646801192.716196, e        ,udp,192.168.1.212,49296,192.168.1.21,53,2,160,CON,1646801192.7166018,1781,0.000406,0.000406,0.0,0.000406,0.000406,0.000406,1,1,72,88,2463.054199,0.0,0.0,0,Normal,Normal,Normal
2004,1646801192.7162054, e        ,udp,192.168.1.212,49296,192.168.1.21,53,2,144,CON,1646801192.716608,1782,0.000403,0.000403,0.0,0.000403,0.000403,0.000403,1,1,72,72,2481.389404,0.0,0.0,0,Normal,Normal,Normal
2005,1646801192.717055, e        ,tcp,192.168.1.212,44864,192.168.1.21,80,10,1334,sSEfF,1646801192.718872,1783,0.0018170000000000005,0.0018170000000000005,0.0,0.0018170000000000005,0.0018170000000000005,0.0018170000000000005,6,4,559,775,4953.2197270000015,2751.788574,1651.073242,0,Normal,Normal,Normal
2006,1646801192.720367, e        ,udp,192.168.1.212,53873,192.168.1.21,53,2,160,CON,1646801192.720747,1784,0.00038,0.00038,0.0,0.00038,0.00038,0.00038,1,1,72,88,2631.578857,0.0,0.0,0,Normal,Normal,Normal
2007,1646801192.7203732, e        ,udp,192.168.1.212,53873,192.168.1.21,53,2,144,CON,1646801192.720752,1785,0.000379,0.000379,0.0,0.000379,0.000379,0.000379,1,1,72,72,2638.522461,0.0,0.0,0,Normal,Normal,Normal
2008,1646801192.7214198, e        ,tcp,192.168.1.212,44866,192.168.1.21,80,10,1328,sSEfF,1646801192.723662,1786,0.002242,0.002242,0.0,0.002242,0.002242,0.002242,6,4,556,772,4014.272949,2230.151611,1338.090942,0,Normal,Normal,Normal
2009,1646801192.72506, e        ,udp,192.168.1.212,50217,192.168.1.21,53,2,160,CON,1646801192.725373,1787,0.000313,0.000313,0.0,0.000313,0.000313,0.000313,1,1,72,88,3194.888184,0.0,0.0,0,Normal,Normal,Normal
2010,1646801192.725065, e        ,udp,192.168.1.212,50217,192.168.1.21,53,2,144,CON,1646801192.725379,1788,0.000314,0.000314,0.0,0.000314,0.000314,0.000314,1,1,72,72,3184.713379,0.0,0.0,0,Normal,Normal,Normal
2011,1646801192.725749, e        ,tcp,192.168.1.212,44868,192.168.1.21,80,10,1344,sSEfF,1646801192.728194,1789,0.002445,0.002445,0.0,0.002445,0.002445,0.002445,6,4,564,780,3680.981689,2044.989746,1226.9938960000004,0,Normal,Normal,Normal
2012,1646801192.729429, e        ,udp,192.168.1.212,33331,192.168.1.21,53,2,160,CON,1646801192.729648,1790,0.000219,0.000219,0.0,0.000219,0.000219,0.000219,1,1,72,88,4566.209961,0.0,0.0,0,Normal,Normal,Normal
2013,1646801192.729433, e        ,udp,192.168.1.212,33331,192.168.1.21,53,2,144,CON,1646801192.729652,1791,0.000219,0.000219,0.0,0.000219,0.000219,0.000219,1,1,72,72,4566.209961,0.0,0.0,0,Normal,Normal,Normal
