Rank,StartTime,Flgs,Proto,SrcAddr,Sport,DstAddr,Dport,TotPkts,TotBytes,State,LastTime,Seq,Dur,Mean,StdDev,Sum,Min,Max,SrcPkts,DstPkts,SrcBytes,DstBytes,Rate,SrcRate,DstRate,Label,Tactic,Technique,SubTechnique
872,1647343225.880397, e        ,udp,192.168.1.212,46005,192.168.1.11,53,2,160,CON,1647343225.880649,728,0.000252,0.000252,0.0,0.000252,0.000252,0.000252,1,1,72,88,3968.253906,0.0,0.0,0,Normal,Normal,Normal
873,1647343225.880401, e        ,udp,192.168.1.212,46005,192.168.1.11,53,2,144,CON,1647343225.880653,729,0.000252,0.000252,0.0,0.000252,0.000252,0.000252,1,1,72,72,3968.253906,0.0,0.0,0,Normal,Normal,Normal
874,1647343225.880877, e        ,tcp,192.168.1.212,60406,192.168.1.11,80,10,1334,sSEfF,1647343225.8831348,730,0.002258,0.002258,0.0,0.002258,0.002258,0.002258,6,4,559,775,3985.828125,2214.349121,1328.609375,0,Normal,Normal,Normal
875,1647343225.883697, e        ,udp,192.168.1.212,49487,192.168.1.11,53,2,160,CON,1647343225.883952,731,0.000255,0.000255,0.0,0.000255,0.000255,0.000255,1,1,72,88,3921.568848,0.0,0.0,0,Normal,Normal,Normal
876,1647343225.883701, e        ,udp,192.168.1.212,49487,192.168.1.11,53,2,144,CON,1647343225.883956,732,0.000255,0.000255,0.0,0.000255,0.000255,0.000255,1,1,72,72,3921.568848,0.0,0.0,0,Normal,Normal,Normal
877,1647343225.884178, e        ,tcp,192.168.1.212,60408,192.168.1.11,80,10,1334,sSEfF,1647343225.886195,733,0.002017,0.002017,0.0,0.002017,0.002017,0.002017,6,4,559,775,4462.072265999999,2478.929199,1487.357422,0,Normal,Normal,Normal
878,1647343225.8868039, e        ,udp,192.168.1.212,37832,192.168.1.11,53,2,160,CON,1647343225.887117,734,0.000313,0.000313,0.0,0.000313,0.000313,0.000313,1,1,72,88,3194.888184,0.0,0.0,0,Normal,Normal,Normal
879,1647343225.886808, e        ,udp,192.168.1.212,37832,192.168.1.11,53,2,144,CON,1647343225.8871222,735,0.000314,0.000314,0.0,0.000314,0.000314,0.000314,1,1,72,72,3184.713379,0.0,0.0,0,Normal,Normal,Normal
880,1647343225.8875802, e        ,tcp,192.168.1.212,60410,192.168.1.11,80,10,1328,sSEfF,1647343225.889115,736,0.001535,0.001535,0.0,0.001535,0.001535,0.001535,6,4,556,772,5863.191895,3257.328857,1954.397339,0,Normal,Normal,Normal
881,1647343225.8898141, e        ,udp,192.168.1.212,40705,192.168.1.11,53,2,160,CON,1647343225.889962,737,0.000148,0.000148,0.0,0.000148,0.000148,0.000148,1,1,72,88,6756.756348000001,0.0,0.0,0,Normal,Normal,Normal
882,1647343225.889819, e        ,udp,192.168.1.212,40705,192.168.1.11,53,2,144,CON,1647343225.889965,738,0.000146,0.000146,0.0,0.000146,0.000146,0.000146,1,1,72,72,6849.314941,0.0,0.0,0,Normal,Normal,Normal
883,1647343225.890137, e        ,tcp,192.168.1.212,60412,192.168.1.11,80,10,1344,sSEfF,1647343225.89132,739,0.001183,0.001183,0.0,0.001183,0.001183,0.001183,6,4,564,780,7607.776367,4226.54248,2535.925537,0,Normal,Normal,Normal
884,1647343225.892046, e        ,udp,192.168.1.212,46949,192.168.1.11,53,2,160,CON,1647343225.892173,740,0.000127,0.000127,0.0,0.000127,0.000127,0.000127,1,1,72,88,7874.015137,0.0,0.0,0,Normal,Normal,Normal
885,1647343225.8920481, e        ,udp,192.168.1.212,46949,192.168.1.11,53,2,144,CON,1647343225.892176,741,0.000128,0.000128,0.0,0.000128,0.000128,0.000128,1,1,72,72,7812.5,0.0,0.0,0,Normal,Normal,Normal
886,1647343225.89236, e        ,tcp,192.168.1.212,60414,192.168.1.11,80,10,1336,sSEfF,1647343225.8936946,742,0.001335,0.001335,0.0,0.001335,0.001335,0.001335,6,4,560,776,6741.572754000002,3745.318359,2247.190918,0,Normal,Normal,Normal
887,1647343225.901958, e        ,udp,192.168.1.212,41556,192.168.1.11,53,2,160,CON,1647343225.90223,743,0.000272,0.000272,0.0,0.000272,0.000272,0.000272,1,1,72,88,3676.470459000001,0.0,0.0,0,Normal,Normal,Normal
888,1647343225.901967, e        ,udp,192.168.1.212,41556,192.168.1.11,53,2,144,CON,1647343225.902234,744,0.000267,0.000267,0.0,0.000267,0.000267,0.000267,1,1,72,72,3745.318359,0.0,0.0,0,Normal,Normal,Normal
889,1647343225.902493, e        ,tcp,192.168.1.212,60416,192.168.1.11,80,10,1334,sSEfF,1647343225.9042358,745,0.001743,0.001743,0.0,0.001743,0.001743,0.001743,6,4,559,775,5163.51123,2868.617432,1721.1704100000004,0,Normal,Normal,Normal
890,1647343226.042875, e        ,udp,192.168.1.103,123,220.132.100.157,123,1,90,REQ,1647343226.042875,130,0.0,0.0,0.0,0.0,0.0,0.0,1,0,90,0,0.0,0.0,0.0,0,Normal,Normal,Normal
891,1647343226.042903, e        ,udp,192.168.1.103,123,183.177.72.201,123,1,90,REQ,1647343226.042903,37,0.0,0.0,0.0,0.0,0.0,0.0,1,0,90,0,0.0,0.0,0.0,0,Normal,Normal,Normal
892,1647343226.042907, e        ,udp,192.168.1.103,123,183.177.72.202,123,1,90,REQ,1647343226.042907,36,0.0,0.0,0.0,0.0,0.0,0.0,1,0,90,0,0.0,0.0,0.0,0,Normal,Normal,Normal
893,1647343226.0429099, e        ,udp,192.168.1.103,123,122.117.24.100,123,1,90,REQ,1647343226.0429099,267,0.0,0.0,0.0,0.0,0.0,0.0,1,0,90,0,0.0,0.0,0.0,0,Normal,Normal,Normal
894,1647343226.043046, e        ,udp,192.168.1.103,123,123.241.7.203,123,1,90,REQ,1647343226.043046,268,0.0,0.0,0.0,0.0,0.0,0.0,1,0,90,0,0.0,0.0,0.0,0,Normal,Normal,Normal
895,1647343226.043149, e        ,udp,192.168.1.103,123,49.213.184.242,123,1,90,REQ,1647343226.043149,127,0.0,0.0,0.0,0.0,0.0,0.0,1,0,90,0,0.0,0.0,0.0,0,Normal,Normal,Normal
